array_index,prompt_id,family_id,family_name,case_id,variant,expected_outcome,outcome_positive,outcome_negative,numeric_direction,future_presentation_order,option_free_stem,complete_answer_code_prompt
0,obstacle-spacing-orowan--nickel-superalloy-180-60--anchor--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,nickel-superalloy-180-60,anchor,higher,higher,lower,decrease,positive-first,"In a nickel-based superalloy, mean clear spacing between non-shearable obstacles changes from 180 nanometers to 60 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress?","In a nickel-based superalloy, mean clear spacing between non-shearable obstacles changes from 180 nanometers to 60 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output A; if it is lower, output B. Answer exactly one uppercase letter: A or B."
1,obstacle-spacing-orowan--nickel-superalloy-180-60--physics_paraphrase--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,nickel-superalloy-180-60,physics_paraphrase,higher,higher,lower,decrease,positive-first,"For the same nickel-based superalloy, every obstacle attribute is unchanged except the slip-plane gap, which narrows from 0.18 micrometers to 0.06 micrometers. Select the trend in stress required for a dislocation to bow between impenetrable particles.","For the same nickel-based superalloy, every obstacle attribute is unchanged except the slip-plane gap, which narrows from 0.18 micrometers to 0.06 micrometers. Select the trend in stress required for a dislocation to bow between impenetrable particles. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
2,obstacle-spacing-orowan--nickel-superalloy-180-60--lexical_counterfactual--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,nickel-superalloy-180-60,lexical_counterfactual,lower,higher,lower,increase,positive-first,"In a nickel-based superalloy, mean clear spacing between non-shearable obstacles changes from 60 nanometers to 180 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress?","In a nickel-based superalloy, mean clear spacing between non-shearable obstacles changes from 60 nanometers to 180 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
3,obstacle-spacing-orowan--aluminum-copper-150-50--anchor--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,aluminum-copper-150-50,anchor,lower,higher,lower,increase,negative-first,"In a aluminum-copper alloy, mean clear spacing between non-shearable obstacles changes from 50 nanometers to 150 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress?","In a aluminum-copper alloy, mean clear spacing between non-shearable obstacles changes from 50 nanometers to 150 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output A; if it is higher, output B. Answer exactly one uppercase letter: A or B."
4,obstacle-spacing-orowan--aluminum-copper-150-50--physics_paraphrase--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,aluminum-copper-150-50,physics_paraphrase,lower,higher,lower,increase,negative-first,"For the same aluminum-copper alloy, every obstacle attribute is unchanged except the slip-plane gap, which widens from 0.05 micrometers to 0.15 micrometers. Select the trend in stress required for a dislocation to bow between impenetrable particles.","For the same aluminum-copper alloy, every obstacle attribute is unchanged except the slip-plane gap, which widens from 0.05 micrometers to 0.15 micrometers. Select the trend in stress required for a dislocation to bow between impenetrable particles. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
5,obstacle-spacing-orowan--aluminum-copper-150-50--lexical_counterfactual--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,aluminum-copper-150-50,lexical_counterfactual,higher,higher,lower,decrease,negative-first,"In a aluminum-copper alloy, mean clear spacing between non-shearable obstacles changes from 150 nanometers to 50 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress?","In a aluminum-copper alloy, mean clear spacing between non-shearable obstacles changes from 150 nanometers to 50 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
6,obstacle-spacing-orowan--ferritic-steel-120-40--anchor--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,ferritic-steel-120-40,anchor,higher,higher,lower,decrease,positive-first,"In a ferritic steel, mean clear spacing between non-shearable obstacles changes from 120 nanometers to 40 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress?","In a ferritic steel, mean clear spacing between non-shearable obstacles changes from 120 nanometers to 40 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output A; if it is lower, output B. Answer exactly one uppercase letter: A or B."
7,obstacle-spacing-orowan--ferritic-steel-120-40--physics_paraphrase--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,ferritic-steel-120-40,physics_paraphrase,higher,higher,lower,decrease,positive-first,"For the same ferritic steel, every obstacle attribute is unchanged except the slip-plane gap, which narrows from 0.12 micrometers to 0.04 micrometers. Select the trend in stress required for a dislocation to bow between impenetrable particles.","For the same ferritic steel, every obstacle attribute is unchanged except the slip-plane gap, which narrows from 0.12 micrometers to 0.04 micrometers. Select the trend in stress required for a dislocation to bow between impenetrable particles. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
8,obstacle-spacing-orowan--ferritic-steel-120-40--lexical_counterfactual--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,ferritic-steel-120-40,lexical_counterfactual,lower,higher,lower,increase,positive-first,"In a ferritic steel, mean clear spacing between non-shearable obstacles changes from 40 nanometers to 120 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress?","In a ferritic steel, mean clear spacing between non-shearable obstacles changes from 40 nanometers to 120 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
9,obstacle-spacing-orowan--copper-alloy-90-30--anchor--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,copper-alloy-90-30,anchor,lower,higher,lower,increase,negative-first,"In a copper alloy, mean clear spacing between non-shearable obstacles changes from 30 nanometers to 90 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress?","In a copper alloy, mean clear spacing between non-shearable obstacles changes from 30 nanometers to 90 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output A; if it is higher, output B. Answer exactly one uppercase letter: A or B."
